##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	ANCIENT.SIM.CONT.COV-7.5.RUN-3.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3890
Sequences flagged as poor quality	0
Sequence length	30-49
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.26606683804627	34.0	33.0	34.0	32.0	34.0
2	32.78688946015424	34.0	33.0	34.0	32.0	34.0
3	32.91773778920309	34.0	33.0	34.0	32.0	34.0
4	32.82082262210797	34.0	33.0	34.0	32.0	34.0
5	32.9254498714653	34.0	33.0	34.0	32.0	34.0
6	36.347043701799485	38.0	37.0	38.0	34.0	38.0
7	36.58380462724936	38.0	38.0	38.0	34.0	38.0
8	36.624678663239074	38.0	38.0	38.0	35.0	38.0
9	36.752956298200516	38.0	38.0	38.0	35.0	38.0
10	36.94164524421594	38.0	38.0	38.0	36.0	38.0
11	36.64858611825193	38.0	38.0	38.0	35.0	38.0
12	36.79151670951157	38.0	38.0	38.0	36.0	38.0
13	36.896915167095116	38.0	38.0	38.0	36.0	38.0
14	36.79177377892031	38.0	38.0	38.0	36.0	38.0
15	36.88560411311054	38.0	38.0	38.0	36.0	38.0
16	36.83907455012854	38.0	38.0	38.0	36.0	38.0
17	36.875835475578405	38.0	38.0	38.0	36.0	38.0
18	36.821850899742934	38.0	38.0	38.0	36.0	38.0
19	36.76452442159383	38.0	38.0	38.0	36.0	38.0
20	36.653213367609254	38.0	38.0	38.0	35.0	38.0
21	36.86580976863753	38.0	38.0	38.0	36.0	38.0
22	36.84190231362468	38.0	38.0	38.0	36.0	38.0
23	36.80051413881748	38.0	38.0	38.0	36.0	38.0
24	36.79845758354756	38.0	38.0	38.0	36.0	38.0
25	36.76709511568124	38.0	38.0	38.0	35.0	38.0
26	36.788946015424166	38.0	38.0	38.0	36.0	38.0
27	36.77917737789203	38.0	38.0	38.0	36.0	38.0
28	36.80051413881748	38.0	38.0	38.0	36.0	38.0
29	36.753727506426735	38.0	38.0	38.0	35.0	38.0
30	36.83033419023136	38.0	38.0	38.0	36.0	38.0
31	36.85559343043074	38.0	38.0	38.0	36.0	38.0
32	36.77925925925926	38.0	38.0	38.0	35.0	38.0
33	36.981235697940505	38.0	38.0	38.0	36.0	38.0
34	36.82096317280453	38.0	38.0	38.0	35.0	38.0
35	36.666895133653185	38.0	38.0	38.0	35.0	38.0
36	36.941569282136896	38.0	38.0	38.0	36.0	38.0
37	36.978880675818374	38.0	38.0	38.0	36.0	38.0
38	36.664092664092664	38.0	38.0	38.0	35.0	38.0
39	36.89887640449438	38.0	38.0	38.0	36.0	38.0
40	36.69744597249509	38.0	38.0	38.0	34.0	38.0
41	36.90952380952381	38.0	38.0	38.0	35.0	38.0
42	36.63865546218487	38.0	38.0	38.0	34.0	38.0
43	36.67636363636364	38.0	38.0	38.0	34.0	38.0
44	36.89523809523809	38.0	38.0	38.0	35.0	38.0
45	36.73287671232877	38.0	38.0	38.0	34.0	38.0
46	36.670103092783506	NaN	NaN	NaN	NaN	NaN
47	36.3968253968254	NaN	NaN	NaN	NaN	NaN
48	36.67567567567568	NaN	NaN	NaN	NaN	NaN
49	36.26315789473684	NaN	NaN	NaN	NaN	NaN
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
2006	19	1.4244791666666643
2006	20	1.4010416666666643
2006	21	-0.8450520833333357
2006	22	1.21875
2006	23	1.1106770833333357
2006	24	1.3059895833333357
2006	25	1.3216145833333357
2006	26	1.2369791666666643
2006	27	1.21484375
2006	28	1.03515625
2006	29	1.1419270833333357
2006	30	1.3059895833333357
2006	31	7.91796875
2006	32	-26.361979166666668
2006	33	-19.919270833333332
2006	34	-16.4921875
2006	35	-13.510416666666666
2006	36	-11.184895833333334
2006	37	-9.486979166666666
2006	38	-8.020833333333334
2006	39	-5.6796875
2006	40	-4.736979166666667
2006	41	-3.53125
2006	42	-2.9791666666666665
2006	43	-2.6953125
2006	44	-2.2473958333333335
2006	45	-1.2552083333333333
2006	46	-1.125
2006	47	-0.9869791666666666
2006	48	-0.5885416666666666
2006	49	-0.5442708333333334
2030	1	0.7122395833333357
2030	2	-0.62109375
2030	3	-0.020833333333335702
2030	4	1.24609375
2030	5	-4.665364583333336
2030	6	1.6888020833333357
2030	7	1.5442708333333357
2030	8	1.23828125
2030	9	1.3828125
2030	10	0.98046875
2030	11	1.3125
2030	12	1.1080729166666643
2030	13	0.8541666666666643
2030	14	1.28515625
2030	15	0.984375
2030	16	1.2083333333333357
2030	17	0.9596354166666643
2030	18	0.94921875
2030	19	1.4244791666666643
2030	20	1.4010416666666643
2030	21	1.1549479166666643
2030	22	1.21875
2030	23	1.1106770833333357
2030	24	1.3059895833333357
2030	25	1.3216145833333357
2030	26	1.2369791666666643
2030	27	1.21484375
2030	28	1.03515625
2030	29	1.1419270833333357
2030	30	1.3059895833333357
2030	31	7.91796875
2030	32	-26.361979166666668
2030	33	-19.919270833333332
2030	34	-16.4921875
2030	35	-13.510416666666666
2030	36	-11.184895833333334
2030	37	-9.486979166666666
2030	38	-8.020833333333334
2030	39	-5.6796875
2030	40	-4.736979166666667
2030	41	-3.53125
2030	42	-2.9791666666666665
2030	43	-2.6953125
2030	44	-2.2473958333333335
2030	45	-1.2552083333333333
2030	46	-1.125
2030	47	-0.9869791666666666
2030	48	-0.5885416666666666
2030	49	-0.5442708333333334
2051	1	0.7122395833333357
2051	2	1.37890625
2051	3	-0.020833333333335702
2051	4	1.24609375
2051	5	1.3346354166666643
2051	6	1.6888020833333357
2051	7	1.5442708333333357
2051	8	1.23828125
2051	9	1.3828125
2051	10	0.98046875
2051	11	1.3125
2051	12	-20.891927083333336
2051	13	0.8541666666666643
2051	14	1.28515625
2051	15	0.984375
2051	16	1.2083333333333357
2051	17	0.9596354166666643
2051	18	0.94921875
2051	19	1.4244791666666643
2051	20	1.4010416666666643
2051	21	1.1549479166666643
2051	22	1.21875
2051	23	1.1106770833333357
2051	24	0.3059895833333357
2051	25	1.3216145833333357
2051	26	-22.763020833333336
2051	27	1.21484375
2051	28	1.03515625
2051	29	1.1419270833333357
2051	30	1.3059895833333357
2051	31	7.91796875
2051	32	11.638020833333332
2051	33	18.080729166666668
2051	34	21.5078125
2051	35	24.489583333333336
2051	36	26.815104166666664
2051	37	-9.486979166666666
2051	38	-8.020833333333334
2051	39	-5.6796875
2051	40	-4.736979166666667
2051	41	-3.53125
2051	42	-2.9791666666666665
2051	43	-2.6953125
2051	44	-2.2473958333333335
2051	45	-1.2552083333333333
2051	46	-1.125
2051	47	-0.9869791666666666
2051	48	-0.5885416666666666
2051	49	-0.5442708333333334
2093	1	0.7122395833333357
2093	2	0.37890625
2093	3	0.9791666666666643
2093	4	1.24609375
2093	5	1.3346354166666643
2093	6	-10.311197916666664
2093	7	1.5442708333333357
2093	8	-5.76171875
2093	9	1.3828125
2093	10	0.98046875
2093	11	1.3125
2093	12	1.1080729166666643
2093	13	0.8541666666666643
2093	14	1.28515625
2093	15	0.984375
2093	16	1.2083333333333357
2093	17	0.9596354166666643
2093	18	0.94921875
2093	19	1.4244791666666643
2093	20	1.4010416666666643
2093	21	-7.845052083333336
2093	22	1.21875
2093	23	1.1106770833333357
2093	24	-20.694010416666664
2093	25	1.3216145833333357
2093	26	1.2369791666666643
2093	27	1.21484375
2093	28	1.03515625
2093	29	-1.8580729166666643
2093	30	1.3059895833333357
2093	31	7.91796875
2093	32	6.638020833333332
2093	33	-19.919270833333332
2093	34	-16.4921875
2093	35	-13.510416666666666
2093	36	-11.184895833333334
2093	37	-9.486979166666666
2093	38	-8.020833333333334
2093	39	-5.6796875
2093	40	-4.736979166666667
2093	41	-3.53125
2093	42	-2.9791666666666665
2093	43	-2.6953125
2093	44	-2.2473958333333335
2093	45	-1.2552083333333333
2093	46	-1.125
2093	47	-0.9869791666666666
2093	48	-0.5885416666666666
2093	49	-0.5442708333333334
2099	1	0.7122395833333357
2099	2	0.37890625
2099	3	-0.020833333333335702
2099	4	1.24609375
2099	5	0.3346354166666643
2099	6	1.6888020833333357
2099	7	1.5442708333333357
2099	8	1.23828125
2099	9	1.3828125
2099	10	0.98046875
2099	11	1.3125
2099	12	1.1080729166666643
2099	13	0.8541666666666643
2099	14	1.28515625
2099	15	0.984375
2099	16	1.2083333333333357
2099	17	0.9596354166666643
2099	18	0.94921875
2099	19	1.4244791666666643
2099	20	1.4010416666666643
2099	21	1.1549479166666643
2099	22	1.21875
2099	23	0.1106770833333357
2099	24	1.3059895833333357
2099	25	-1.6783854166666643
2099	26	1.2369791666666643
2099	27	1.21484375
2099	28	1.03515625
2099	29	1.1419270833333357
2099	30	1.3059895833333357
2099	31	-30.08203125
2099	32	-26.361979166666668
2099	33	-19.919270833333332
2099	34	-16.4921875
2099	35	-13.510416666666666
2099	36	-11.184895833333334
2099	37	-9.486979166666666
2099	38	-8.020833333333334
2099	39	-5.6796875
2099	40	-4.736979166666667
2099	41	-3.53125
2099	42	-2.9791666666666665
2099	43	-2.6953125
2099	44	-2.2473958333333335
2099	45	-1.2552083333333333
2099	46	-1.125
2099	47	-0.9869791666666666
2099	48	-0.5885416666666666
2099	49	-0.5442708333333334
2156	1	0.7122395833333357
2156	2	1.37890625
2156	3	0.9791666666666643
2156	4	0.24609375
2156	5	1.3346354166666643
2156	6	1.6888020833333357
2156	7	1.5442708333333357
2156	8	1.23828125
2156	9	1.3828125
2156	10	-21.01953125
2156	11	1.3125
2156	12	1.1080729166666643
2156	13	0.8541666666666643
2156	14	1.28515625
2156	15	0.984375
2156	16	1.2083333333333357
2156	17	0.9596354166666643
2156	18	0.94921875
2156	19	0.4244791666666643
2156	20	-20.598958333333336
2156	21	0.1549479166666643
2156	22	1.21875
2156	23	1.1106770833333357
2156	24	1.3059895833333357
2156	25	1.3216145833333357
2156	26	1.2369791666666643
2156	27	-0.78515625
2156	28	1.03515625
2156	29	1.1419270833333357
2156	30	0.3059895833333357
2156	31	6.91796875
2156	32	9.638020833333332
2156	33	18.080729166666668
2156	34	21.5078125
2156	35	-13.510416666666666
2156	36	-11.184895833333334
2156	37	-9.486979166666666
2156	38	-8.020833333333334
2156	39	-5.6796875
2156	40	-4.736979166666667
2156	41	-3.53125
2156	42	-2.9791666666666665
2156	43	-2.6953125
2156	44	-2.2473958333333335
2156	45	-1.2552083333333333
2156	46	-1.125
2156	47	-0.9869791666666666
2156	48	-0.5885416666666666
2156	49	-0.5442708333333334
2165	1	0.7122395833333357
2165	2	1.37890625
2165	3	-0.020833333333335702
2165	4	0.24609375
2165	5	-17.665364583333336
2165	6	-0.3111979166666643
2165	7	1.5442708333333357
2165	8	1.23828125
2165	9	1.3828125
2165	10	0.98046875
2165	11	1.3125
2165	12	1.1080729166666643
2165	13	0.8541666666666643
2165	14	1.28515625
2165	15	0.984375
2165	16	1.2083333333333357
2165	17	0.9596354166666643
2165	18	0.94921875
2165	19	1.4244791666666643
2165	20	1.4010416666666643
2165	21	1.1549479166666643
2165	22	1.21875
2165	23	1.1106770833333357
2165	24	1.3059895833333357
2165	25	-7.678385416666664
2165	26	1.2369791666666643
2165	27	1.21484375
2165	28	1.03515625
2165	29	1.1419270833333357
2165	30	1.3059895833333357
2165	31	7.91796875
2165	32	11.638020833333332
2165	33	18.080729166666668
2165	34	21.5078125
2165	35	24.489583333333336
2165	36	26.815104166666664
2165	37	28.513020833333336
2165	38	29.979166666666664
2165	39	32.3203125
2165	40	26.263020833333332
2165	41	34.46875
2165	42	35.020833333333336
2165	43	35.3046875
2165	44	-2.2473958333333335
2165	45	-1.2552083333333333
2165	46	-1.125
2165	47	-0.9869791666666666
2165	48	-0.5885416666666666
2165	49	-0.5442708333333334
2204	1	-0.2877604166666643
2204	2	0.37890625
2204	3	0.9791666666666643
2204	4	1.24609375
2204	5	1.3346354166666643
2204	6	-2.3111979166666643
2204	7	1.5442708333333357
2204	8	-0.76171875
2204	9	0.3828125
2204	10	0.98046875
2204	11	1.3125
2204	12	-1.8919270833333357
2204	13	0.8541666666666643
2204	14	1.28515625
2204	15	0.984375
2204	16	1.2083333333333357
2204	17	-11.040364583333336
2204	18	0.94921875
2204	19	1.4244791666666643
2204	20	1.4010416666666643
2204	21	1.1549479166666643
2204	22	1.21875
2204	23	1.1106770833333357
2204	24	0.3059895833333357
2204	25	1.3216145833333357
2204	26	1.2369791666666643
2204	27	1.21484375
2204	28	0.03515625
2204	29	1.1419270833333357
2204	30	1.3059895833333357
2204	31	7.91796875
2204	32	11.638020833333332
2204	33	18.080729166666668
2204	34	19.5078125
2204	35	24.489583333333336
2204	36	26.815104166666664
2204	37	28.513020833333336
2204	38	-8.020833333333334
2204	39	-5.6796875
2204	40	-4.736979166666667
2204	41	-3.53125
2204	42	-2.9791666666666665
2204	43	-2.6953125
2204	44	-2.2473958333333335
2204	45	-1.2552083333333333
2204	46	-1.125
2204	47	-0.9869791666666666
2204	48	-0.5885416666666666
2204	49	-0.5442708333333334
2269	1	0.7122395833333357
2269	2	1.37890625
2269	3	-1.0208333333333357
2269	4	1.24609375
2269	5	1.3346354166666643
2269	6	0.6888020833333357
2269	7	1.5442708333333357
2269	8	-10.76171875
2269	9	1.3828125
2269	10	0.98046875
2269	11	1.3125
2269	12	1.1080729166666643
2269	13	-4.145833333333336
2269	14	1.28515625
2269	15	-8.015625
2269	16	1.2083333333333357
2269	17	0.9596354166666643
2269	18	0.94921875
2269	19	1.4244791666666643
2269	20	1.4010416666666643
2269	21	1.1549479166666643
2269	22	1.21875
2269	23	1.1106770833333357
2269	24	1.3059895833333357
2269	25	1.3216145833333357
2269	26	-8.763020833333336
2269	27	-1.78515625
2269	28	1.03515625
2269	29	1.1419270833333357
2269	30	1.3059895833333357
2269	31	7.91796875
2269	32	11.638020833333332
2269	33	18.080729166666668
2269	34	21.5078125
2269	35	24.489583333333336
2269	36	26.815104166666664
2269	37	27.513020833333336
2269	38	29.979166666666664
2269	39	32.3203125
2269	40	11.263020833333332
2269	41	34.46875
2269	42	35.020833333333336
2269	43	35.3046875
2269	44	-2.2473958333333335
2269	45	-1.2552083333333333
2269	46	-1.125
2269	47	-0.9869791666666666
2269	48	-0.5885416666666666
2269	49	-0.5442708333333334
2319	1	-0.2877604166666643
2319	2	1.37890625
2319	3	0.9791666666666643
2319	4	1.24609375
2319	5	-1.6653645833333357
2319	6	-7.311197916666664
2319	7	1.5442708333333357
2319	8	1.23828125
2319	9	1.3828125
2319	10	0.98046875
2319	11	1.3125
2319	12	1.1080729166666643
2319	13	0.8541666666666643
2319	14	1.28515625
2319	15	-0.015625
2319	16	1.2083333333333357
2319	17	0.9596354166666643
2319	18	0.94921875
2319	19	-21.575520833333336
2319	20	1.4010416666666643
2319	21	1.1549479166666643
2319	22	1.21875
2319	23	-0.8893229166666643
2319	24	1.3059895833333357
2319	25	1.3216145833333357
2319	26	-0.7630208333333357
2319	27	-7.78515625
2319	28	1.03515625
2319	29	1.1419270833333357
2319	30	1.3059895833333357
2319	31	7.91796875
2319	32	9.638020833333332
2319	33	-19.919270833333332
2319	34	-16.4921875
2319	35	-13.510416666666666
2319	36	-11.184895833333334
2319	37	-9.486979166666666
2319	38	-8.020833333333334
2319	39	-5.6796875
2319	40	-4.736979166666667
2319	41	-3.53125
2319	42	-2.9791666666666665
2319	43	-2.6953125
2319	44	-2.2473958333333335
2319	45	-1.2552083333333333
2319	46	-1.125
2319	47	-0.9869791666666666
2319	48	-0.5885416666666666
2319	49	-0.5442708333333334
2333	1	-1.2877604166666643
2333	2	0.37890625
2333	3	0.9791666666666643
2333	4	1.24609375
2333	5	0.3346354166666643
2333	6	1.6888020833333357
2333	7	1.5442708333333357
2333	8	1.23828125
2333	9	1.3828125
2333	10	0.98046875
2333	11	1.3125
2333	12	-20.891927083333336
2333	13	0.8541666666666643
2333	14	1.28515625
2333	15	0.984375
2333	16	1.2083333333333357
2333	17	0.9596354166666643
2333	18	-0.05078125
2333	19	1.4244791666666643
2333	20	1.4010416666666643
2333	21	1.1549479166666643
2333	22	1.21875
2333	23	-3.8893229166666643
2333	24	1.3059895833333357
2333	25	1.3216145833333357
2333	26	1.2369791666666643
2333	27	1.21484375
2333	28	1.03515625
2333	29	-1.8580729166666643
2333	30	1.3059895833333357
2333	31	-3.08203125
2333	32	11.638020833333332
2333	33	18.080729166666668
2333	34	21.5078125
2333	35	-13.510416666666666
2333	36	-11.184895833333334
2333	37	-9.486979166666666
2333	38	-8.020833333333334
2333	39	-5.6796875
2333	40	-4.736979166666667
2333	41	-3.53125
2333	42	-2.9791666666666665
2333	43	-2.6953125
2333	44	-2.2473958333333335
2333	45	-1.2552083333333333
2333	46	-1.125
2333	47	-0.9869791666666666
2333	48	-0.5885416666666666
2333	49	-0.5442708333333334
2352	1	0.7122395833333357
2352	2	0.37890625
2352	3	-15.020833333333336
2352	4	1.24609375
2352	5	1.3346354166666643
2352	6	0.6888020833333357
2352	7	1.5442708333333357
2352	8	1.23828125
2352	9	1.3828125
2352	10	0.98046875
2352	11	1.3125
2352	12	1.1080729166666643
2352	13	0.8541666666666643
2352	14	1.28515625
2352	15	0.984375
2352	16	1.2083333333333357
2352	17	0.9596354166666643
2352	18	-2.05078125
2352	19	1.4244791666666643
2352	20	-3.5989583333333357
2352	21	1.1549479166666643
2352	22	1.21875
2352	23	0.1106770833333357
2352	24	1.3059895833333357
2352	25	-6.678385416666664
2352	26	1.2369791666666643
2352	27	1.21484375
2352	28	1.03515625
2352	29	0.1419270833333357
2352	30	-0.6940104166666643
2352	31	7.91796875
2352	32	11.638020833333332
2352	33	18.080729166666668
2352	34	-16.4921875
2352	35	-13.510416666666666
2352	36	-11.184895833333334
2352	37	-9.486979166666666
2352	38	-8.020833333333334
2352	39	-5.6796875
2352	40	-4.736979166666667
2352	41	-3.53125
2352	42	-2.9791666666666665
2352	43	-2.6953125
2352	44	-2.2473958333333335
2352	45	-1.2552083333333333
2352	46	-1.125
2352	47	-0.9869791666666666
2352	48	-0.5885416666666666
2352	49	-0.5442708333333334
2413	1	0.7122395833333357
2413	2	1.37890625
